timestamp,open,high,low,close,volume
2018-06-13,23.8200,24.7200,23.3305,24.4550,24760229
2018-06-12,29.8000,29.8100,29.0500,29.6000,7372932
2018-06-11,29.2800,29.5450,28.8600,29.3800,3161026
2018-06-08,28.9400,29.2850,28.7700,29.1500,2321310
2018-06-07,28.8300,29.0700,28.7000,28.9400,2426698
2018-06-06,28.3400,28.9300,28.2400,28.8300,2094482
2018-06-05,28.1800,28.4200,28.0100,28.3400,1856076
2018-06-04,28.0000,28.2800,27.8600,28.2300,1916322
2018-06-01,27.6100,27.9600,27.5900,27.8900,1298519
2018-05-31,28.1100,28.1100,27.4050,27.4500,2086899
2018-05-30,28.0400,28.3000,27.9200,28.1000,1290123
2018-05-29,27.8100,28.0700,27.7500,27.9400,1530437
2018-05-25,27.9900,28.2500,27.9300,27.9300,1130354
2018-05-24,27.7800,28.1050,27.6500,28.0600,1580633
2018-05-23,27.8100,27.9000,27.4500,27.7600,1317566
2018-05-22,27.8900,28.1400,27.7800,27.9000,891740
2018-05-21,27.8800,28.1400,27.8350,27.8900,1351510
2018-05-18,27.7400,27.9250,27.6400,27.6800,1564326
2018-05-17,27.9000,27.9800,27.5300,27.7400,1713013
2018-05-16,27.7200,27.9900,27.5800,27.9400,2216011
2018-05-15,27.5400,27.9100,27.4100,27.8000,2262599
2018-05-14,27.9700,28.1500,27.6000,27.7000,1904819
2018-05-11,27.8000,27.9600,27.5200,27.8500,2033736
2018-05-10,27.5700,27.9000,27.3700,27.7800,1160428
2018-05-09,28.0200,28.0200,27.3250,27.3900,1806672
2018-05-08,27.4700,27.8950,27.3800,27.8200,2122378
2018-05-07,27.4700,27.7100,27.2400,27.6700,1848526
2018-05-04,26.4500,27.5700,26.3100,27.4900,3055379
2018-05-03,26.6900,26.7700,26.2500,26.5300,2524566
2018-05-02,27.7000,27.7000,26.6700,26.7200,2655036
2018-05-01,27.6600,27.7750,27.0750,27.7000,1930654
2018-04-30,28.2000,28.2600,27.6400,27.6500,2347254
2018-04-27,28.5500,28.7700,28.2000,28.2200,2064027
2018-04-26,28.3600,28.9000,27.9900,28.5500,2706064
2018-04-25,26.7900,28.6500,26.7900,28.1200,5141663
